epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.330817,0.86518,3.6668,1.26651,0.74528,0.83333,0.88865,0.6361,1.43425,1.3636,1.27215,0,0,0
2,0.79839,1.40175,2.99065,1.65209,0.81439,0.83333,0.87468,0.64024,1.4515,1.35145,1.28025,1.16644e-06,1.16644e-06,1.16644e-06
3,1.22237,0.98612,3.0386,1.39928,0.78885,0.75,0.87475,0.63663,1.45741,1.37462,1.2785,2.28575e-06,2.28575e-06,2.28575e-06
4,1.58235,1.23583,3.01677,1.55745,0.74741,0.75,0.87493,0.61057,1.47733,1.40606,1.29135,3.35794e-06,3.35794e-06,3.35794e-06
5,2.10644,1.21413,3.45139,1.63677,0.70781,0.75,0.87458,0.60042,1.499,1.43014,1.30573,4.38301e-06,4.38301e-06,4.38301e-06
6,2.56873,1.18025,3.40142,1.52185,0.7079,0.75,0.87468,0.59453,1.50102,1.4577,1.31253,5.36095e-06,5.36095e-06,5.36095e-06
7,3.05418,1.19326,3.02162,1.43228,0.71667,0.75,0.88792,0.57902,1.52232,1.50687,1.32616,6.29177e-06,6.29177e-06,6.29177e-06
8,3.66135,1.05812,2.59118,1.39349,0.73411,0.75,0.88805,0.58354,1.54053,1.56512,1.34237,7.17546e-06,7.17546e-06,7.17546e-06
9,4.14885,1.10088,3.00506,1.44445,0.75121,0.58333,0.87474,0.61518,1.57088,1.64102,1.36383,8.01203e-06,8.01203e-06,8.01203e-06
10,4.62394,1.02875,3.02058,1.3449,0.74257,0.58333,0.75065,0.60457,1.56229,1.65294,1.36943,8.80148e-06,8.80148e-06,8.80148e-06
11,5.10174,1.13009,2.43781,1.40558,0.75711,0.58333,0.75065,0.60613,1.54789,1.6823,1.36406,9.5438e-06,9.5438e-06,9.5438e-06
12,5.58018,1.15832,2.19904,1.52745,0.73204,0.58333,0.75009,0.58921,1.54083,1.72797,1.36314,1.0239e-05,1.0239e-05,1.0239e-05
13,6.10399,0.95492,2.73586,1.29077,0.74324,0.75,0.75003,0.58583,1.53606,1.77189,1.35667,1.08871e-05,1.08871e-05,1.08871e-05
14,7.03532,0.97841,2.45673,1.343,0.76422,0.41667,0.75006,0.56864,1.53799,1.81732,1.35926,1.1488e-05,1.1488e-05,1.1488e-05
