epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.356002,0.76029,3.14794,1.19532,0.81817,0.81667,0.91559,0.70287,1.28766,0.85417,1.2,0,0,0
2,0.852715,1.16157,2.68119,1.52486,0.85652,0.81667,0.91221,0.70298,1.29162,0.85502,1.19759,1.16644e-06,1.16644e-06,1.16644e-06
3,1.34296,0.88805,2.4968,1.33658,0.78687,0.91598,0.93985,0.70576,1.29874,0.85944,1.19918,2.28575e-06,2.28575e-06,2.28575e-06
4,1.76911,1.19355,2.50166,1.5083,0.80113,0.90646,0.93822,0.70493,1.29499,0.86268,1.19634,3.35794e-06,3.35794e-06,3.35794e-06
5,2.48935,1.0557,3.23026,1.48916,0.7926,0.9122,0.94079,0.70755,1.30072,0.86329,1.19903,4.38301e-06,4.38301e-06,4.38301e-06
6,3.26941,1.13623,2.98761,1.41396,0.79166,0.91245,0.93999,0.69866,1.30151,0.86511,1.1983,5.36095e-06,5.36095e-06,5.36095e-06
7,3.94551,1.15667,2.33585,1.46254,0.78846,0.91027,0.94001,0.69212,1.29889,0.86791,1.196,6.29177e-06,6.29177e-06,6.29177e-06
8,9.68994,1.00654,2.24231,1.36989,0.78742,0.89843,0.94012,0.69295,1.29985,0.87305,1.19517,7.17546e-06,7.17546e-06,7.17546e-06
9,11.1621,1.06264,2.53956,1.38743,0.78625,0.8909,0.94087,0.68268,1.29557,0.87827,1.19228,8.01203e-06,8.01203e-06,8.01203e-06
10,13.1727,0.72957,2.34024,1.11289,0.7896,0.8814,0.94034,0.68209,1.30072,0.89256,1.19394,8.80148e-06,8.80148e-06,8.80148e-06
11,13.8526,0.85204,1.73475,1.30026,0.76563,0.85,0.9189,0.6825,1.303,0.89446,1.19168,9.5438e-06,9.5438e-06,9.5438e-06
12,14.6845,0.87972,1.49214,1.39922,0.7471,0.85,0.91847,0.67972,1.31497,0.91129,1.19781,1.0239e-05,1.0239e-05,1.0239e-05
13,15.422,0.76919,1.84427,1.2339,0.7301,0.85,0.92076,0.66966,1.33044,0.92315,1.20411,1.08871e-05,1.08871e-05,1.08871e-05
14,17.7379,0.89881,1.71743,1.28791,0.77582,0.85,0.92214,0.67253,1.35307,0.93481,1.21332,1.1488e-05,1.1488e-05,1.1488e-05
15,18.7509,0.7766,1.59272,1.2207,0.7775,0.85,0.92524,0.67347,1.36979,0.95284,1.22256,1.20418e-05,1.20418e-05,1.20418e-05
16,19.6868,1.07779,1.32114,1.5352,0.75524,0.85,0.92566,0.6663,1.38487,0.98471,1.23212,1.25486e-05,1.25486e-05,1.25486e-05
17,21.189,0.74088,1.04389,1.00128,0.74661,0.85,0.86602,0.65793,1.38043,0.99036,1.23677,1.30081e-05,1.30081e-05,1.30081e-05
18,23.4243,0.82437,1.47087,1.34227,0.74661,0.85,0.86602,0.65793,1.38043,0.99036,1.23677,1.34206e-05,1.34206e-05,1.34206e-05
19,24.1158,0.86228,2.29007,1.35787,0.71608,0.85,0.86738,0.66801,1.3572,1.00545,1.22578,1.37859e-05,1.37859e-05,1.37859e-05
20,24.8877,0.85763,1.14405,1.32135,0.71608,0.85,0.86738,0.66801,1.3572,1.00545,1.22578,1.41041e-05,1.41041e-05,1.41041e-05
21,25.5851,0.90426,1.58756,1.25592,0.66591,0.85,0.86767,0.66736,1.34432,1.03843,1.2234,1.43752e-05,1.43752e-05,1.43752e-05
22,29.9551,0.9243,1.89747,1.34616,0.66591,0.85,0.86767,0.66736,1.34432,1.03843,1.2234,1.45992e-05,1.45992e-05,1.45992e-05
23,30.6406,0.85622,1.11415,1.1719,0.6633,0.76667,0.86463,0.68725,1.3273,1.06074,1.22999,1.4776e-05,1.4776e-05,1.4776e-05
24,31.2966,0.81097,1.34003,1.12775,0.6633,0.76667,0.86463,0.68725,1.3273,1.06074,1.22999,1.49057e-05,1.49057e-05,1.49057e-05
25,34.2246,0.83511,0.94098,1.15565,0.69296,0.76667,0.86251,0.68654,1.32333,1.09387,1.232,1.49883e-05,1.49883e-05,1.49883e-05
26,35.0667,0.80831,0.86158,1.26786,0.69296,0.76667,0.86251,0.68654,1.32333,1.09387,1.232,1.50238e-05,1.50238e-05,1.50238e-05
27,35.761,0.43845,0.8661,1.00859,0.68428,0.76667,0.86189,0.68199,1.332,1.1388,1.24747,1.50121e-05,1.50121e-05,1.50121e-05
