epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,37.556,0.89702,2.14621,0.01295,0.81148,0.64862,0.85158,0.66648,1.56706,1.18593,0.01066,1.11965e-05,1.11965e-05,1.11965e-05
40,38.7223,0.8783,1.39723,0.00978,0.81148,0.64862,0.85158,0.66648,1.56706,1.18593,0.01066,1.05722e-05,1.05722e-05,1.05722e-05
41,40.7684,0.84253,1.31354,0.0114,0.82363,0.6422,0.84026,0.66136,1.54386,1.25442,0.01045,9.9008e-06,9.9008e-06,9.9008e-06
42,42.0173,0.7304,0.99658,0.012,0.82363,0.6422,0.84026,0.66136,1.54386,1.25442,0.01045,9.18228e-06,9.18228e-06,9.18228e-06
43,42.905,0.68134,1.1229,0.00979,0.81769,0.64024,0.85158,0.66771,1.54253,1.2023,0.01041,8.41663e-06,8.41663e-06,8.41663e-06
44,44.0545,0.86305,1.10078,0.01062,0.81769,0.64024,0.85158,0.66771,1.54253,1.2023,0.01041,7.60386e-06,7.60386e-06,7.60386e-06
45,44.9115,0.90116,1.17731,0.01299,0.70088,0.69522,0.8103,0.64298,1.54238,1.22066,0.01046,6.74397e-06,6.74397e-06,6.74397e-06
46,45.7169,0.7286,1.79545,0.01304,0.70088,0.69522,0.8103,0.64298,1.54238,1.22066,0.01046,5.83695e-06,5.83695e-06,5.83695e-06
47,46.5585,0.73655,0.90717,0.00955,0.70689,0.69371,0.80843,0.66003,1.52924,1.21933,0.01029,4.88281e-06,4.88281e-06,4.88281e-06
48,47.3699,0.74246,0.90409,0.00741,0.70689,0.69371,0.80843,0.66003,1.52924,1.21933,0.01029,3.88154e-06,3.88154e-06,3.88154e-06
49,48.274,0.82188,1.06531,0.01105,0.70047,0.67703,0.80656,0.6502,1.60459,1.09192,0.01059,2.83315e-06,2.83315e-06,2.83315e-06
50,49.3374,0.88547,1.84265,0.01164,0.70047,0.67703,0.80656,0.6502,1.60459,1.09192,0.01059,1.73764e-06,1.73764e-06,1.73764e-06
