epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1060.66,0.48308,0.4126,1.05317,0.82349,0.87248,0.88492,0.80087,0.43919,0.52184,0.8243,0.000828443,0.000828443,0.000828443
43,1085.52,0.49652,0.41631,1.06122,0.88504,0.84669,0.90956,0.81862,0.42736,0.48719,0.82589,0.000820525,0.000820525,0.000820525
44,1110.51,0.47906,0.43186,1.05499,0.86005,0.87279,0.89747,0.81835,0.40791,0.50591,0.7868,0.000812468,0.000812468,0.000812468
45,1135.34,0.48053,0.4029,1.04848,0.87725,0.85256,0.90165,0.82156,0.41357,0.4634,0.78378,0.000804277,0.000804277,0.000804277
46,1159.96,0.47527,0.40449,1.04865,0.87009,0.85602,0.90651,0.83029,0.41829,0.44754,0.81074,0.000795954,0.000795954,0.000795954
47,1184.48,0.47127,0.38148,1.05,0.83238,0.87489,0.90494,0.82099,0.41786,0.50456,0.8015,0.000787503,0.000787503,0.000787503
48,1209.44,0.46722,0.37237,1.04396,0.86674,0.83371,0.89389,0.80695,0.42977,0.52302,0.82525,0.000778929,0.000778929,0.000778929
49,1234.19,0.46649,0.3984,1.04697,0.85574,0.86405,0.90037,0.82077,0.41879,0.47744,0.80215,0.000770234,0.000770234,0.000770234
50,1259.04,0.45266,0.39518,1.04383,0.89412,0.80976,0.90411,0.82054,0.43385,0.51142,0.8384,0.000761423,0.000761423,0.000761423
51,1285.12,0.46257,0.36606,1.04328,0.8677,0.84295,0.9005,0.82103,0.40407,0.53821,0.80526,0.0007525,0.0007525,0.0007525
52,1309.31,0.45496,0.38569,1.04347,0.83506,0.88888,0.91037,0.83079,0.39605,0.4913,0.78583,0.000743468,0.000743468,0.000743468
53,1333.71,0.46697,0.38833,1.03839,0.88427,0.85364,0.91126,0.83431,0.39626,0.45884,0.78415,0.000734332,0.000734332,0.000734332
54,1358.11,0.45279,0.39168,1.04468,0.86662,0.858,0.91539,0.83657,0.40208,0.48577,0.77498,0.000725094,0.000725094,0.000725094
55,1382.74,0.45396,0.39046,1.04303,0.85264,0.8741,0.902,0.82424,0.39547,0.49798,0.77128,0.000715761,0.000715761,0.000715761
56,1406.98,0.43995,0.37348,1.0332,0.88091,0.84882,0.90185,0.82694,0.38309,0.48801,0.76717,0.000706335,0.000706335,0.000706335
57,1431.28,0.44849,0.36582,1.04171,0.85266,0.89306,0.91153,0.83641,0.38915,0.47321,0.78672,0.00069682,0.00069682,0.00069682
58,1455.66,0.44928,0.37368,1.03674,0.909,0.82428,0.91278,0.83898,0.4025,0.47857,0.79378,0.000687222,0.000687222,0.000687222
59,1480.15,0.44474,0.34964,1.03526,0.85866,0.89468,0.91142,0.83406,0.39604,0.46181,0.78297,0.000677543,0.000677543,0.000677543
60,1504.22,0.42883,0.367,1.01937,0.90047,0.88255,0.92772,0.85606,0.38054,0.43316,0.77174,0.000667789,0.000667789,0.000667789
61,1528.93,0.44275,0.3695,1.03357,0.84745,0.9136,0.9254,0.84569,0.40661,0.44009,0.79987,0.000657963,0.000657963,0.000657963
62,1553.66,0.43384,0.36523,1.02617,0.89593,0.88075,0.92251,0.84297,0.39954,0.41782,0.78487,0.000648071,0.000648071,0.000648071
63,1579.53,0.41807,0.33655,1.01835,0.87657,0.88775,0.90439,0.83101,0.37922,0.46126,0.76812,0.000638115,0.000638115,0.000638115
64,1604.7,0.43293,0.35427,1.02765,0.88228,0.87673,0.91462,0.84234,0.39009,0.46675,0.77818,0.000628101,0.000628101,0.000628101
65,1630.39,0.43139,0.34196,1.01874,0.89399,0.88297,0.91609,0.83545,0.40069,0.43817,0.78789,0.000618034,0.000618034,0.000618034
66,1656.06,0.42459,0.33541,1.02463,0.91092,0.86028,0.91285,0.83805,0.39352,0.4532,0.78055,0.000607916,0.000607916,0.000607916
67,1681.25,0.42443,0.33981,1.03093,0.87104,0.86397,0.90452,0.82025,0.41476,0.48867,0.80181,0.000597754,0.000597754,0.000597754
68,1706.59,0.43244,0.34028,1.03312,0.89331,0.89184,0.91694,0.83205,0.40241,0.45642,0.7853,0.000587551,0.000587551,0.000587551
69,1735.66,0.41948,0.33708,1.02568,0.91139,0.85959,0.90863,0.8273,0.40177,0.4777,0.79577,0.000577311,0.000577311,0.000577311
70,1760.74,0.41336,0.3491,1.01667,0.87556,0.88527,0.92454,0.84695,0.38485,0.47202,0.75818,0.00056704,0.00056704,0.00056704
71,1785.97,0.41382,0.3287,1.02136,0.90505,0.86568,0.91426,0.83776,0.38324,0.43228,0.77059,0.000556742,0.000556742,0.000556742
72,1811.25,0.40884,0.32774,1.01106,0.89754,0.88797,0.91473,0.83769,0.38906,0.43308,0.76866,0.000546421,0.000546421,0.000546421
73,1836.54,0.39899,0.32511,1.00777,0.88285,0.90297,0.9081,0.83066,0.3766,0.43645,0.76065,0.000536081,0.000536081,0.000536081
74,1861.46,0.3952,0.31692,1.01077,0.87647,0.88706,0.91797,0.84122,0.38655,0.43577,0.77563,0.000525728,0.000525728,0.000525728
75,1886.3,0.40601,0.32415,1.0173,0.8896,0.88511,0.91623,0.84296,0.37136,0.4245,0.759,0.000515366,0.000515366,0.000515366
76,1911.61,0.40434,0.3178,1.01716,0.88684,0.89707,0.92278,0.84677,0.37121,0.43876,0.75353,0.000505,0.000505,0.000505
77,1937.41,0.426,0.33536,1.02653,0.88812,0.89058,0.92947,0.85192,0.38119,0.43497,0.77176,0.000494634,0.000494634,0.000494634
78,1962.83,0.40003,0.32003,1.01402,0.90335,0.85841,0.91489,0.83989,0.37718,0.42593,0.76812,0.000484272,0.000484272,0.000484272
79,1988.25,0.40306,0.30537,1.01084,0.90494,0.87208,0.91376,0.83619,0.39503,0.44961,0.78441,0.000473919,0.000473919,0.000473919
80,2013.48,0.3898,0.31746,1.00308,0.86873,0.89731,0.91535,0.83769,0.37516,0.44889,0.76534,0.000463579,0.000463579,0.000463579
