epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,50.9767,0.87715,1.01586,0.01149,0.67939,0.8783,0.84946,0.6547,1.51448,0.83876,0.00954,1.11965e-05,1.11965e-05,1.11965e-05
40,51.9849,0.70443,0.96898,0.00711,0.67939,0.8783,0.84946,0.6547,1.51448,0.83876,0.00954,1.05722e-05,1.05722e-05,1.05722e-05
41,53.6382,0.62769,0.66268,0.00912,0.65686,0.88333,0.84946,0.6548,1.5202,0.84925,0.00958,9.9008e-06,9.9008e-06,9.9008e-06
42,55.1251,0.59457,0.63127,0.0073,0.65686,0.88333,0.84946,0.6548,1.5202,0.84925,0.00958,9.18228e-06,9.18228e-06,9.18228e-06
43,56.6853,0.65442,0.61805,0.01148,0.66569,0.88333,0.84945,0.65448,1.52007,0.83576,0.00952,8.41663e-06,8.41663e-06,8.41663e-06
44,57.9997,0.5126,0.55523,0.00519,0.66569,0.88333,0.84945,0.65448,1.52007,0.83576,0.00952,7.60386e-06,7.60386e-06,7.60386e-06
45,59.052,0.49412,0.55588,0.00506,0.57489,0.88023,0.84875,0.67344,1.48595,0.86888,0.00934,6.74397e-06,6.74397e-06,6.74397e-06
46,60.0259,0.75642,0.785,0.01289,0.57489,0.88023,0.84875,0.67344,1.48595,0.86888,0.00934,5.83695e-06,5.83695e-06,5.83695e-06
47,61.0295,0.64833,0.58187,0.00739,0.57795,0.88089,0.84632,0.65208,1.47203,0.86066,0.00925,4.88281e-06,4.88281e-06,4.88281e-06
48,62.0281,0.58777,0.50459,0.005,0.57795,0.88089,0.84632,0.65208,1.47203,0.86066,0.00925,3.88154e-06,3.88154e-06,3.88154e-06
49,63.0229,0.62312,0.64825,0.00794,0.58071,0.88083,0.84574,0.65078,1.47057,0.86037,0.00924,2.83315e-06,2.83315e-06,2.83315e-06
50,64.0392,0.71633,0.66123,0.01039,0.58071,0.88083,0.84574,0.65078,1.47057,0.86037,0.00924,1.73764e-06,1.73764e-06,1.73764e-06
