epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,40.3211,0.54945,0.5934,1.04169,0.89921,0.79858,0.90898,0.67315,1.46983,0.89303,1.17337,1.11965e-05,1.11965e-05,1.11965e-05
40,41.2496,0.51214,0.57783,0.91182,0.89921,0.79858,0.90898,0.67315,1.46983,0.89303,1.17337,1.05722e-05,1.05722e-05,1.05722e-05
41,42.7298,0.51764,0.42807,1.00921,0.89146,0.8007,0.90898,0.68651,1.4572,0.90652,1.17154,9.9008e-06,9.9008e-06,9.9008e-06
42,43.7121,0.45747,0.34937,0.9468,0.89146,0.8007,0.90898,0.68651,1.4572,0.90652,1.17154,9.18228e-06,9.18228e-06,9.18228e-06
43,44.6181,0.66263,0.36912,1.08919,0.88674,0.80205,0.90758,0.68491,1.43958,0.94706,1.15465,8.41663e-06,8.41663e-06,8.41663e-06
44,45.5557,0.45897,0.38203,0.72876,0.88674,0.80205,0.90758,0.68491,1.43958,0.94706,1.15465,7.60386e-06,7.60386e-06,7.60386e-06
45,47.5473,0.42443,0.2422,0.86345,0.8852,0.80444,0.9195,0.68925,1.46417,0.85674,1.12448,6.74397e-06,6.74397e-06,6.74397e-06
46,48.4169,0.51436,0.46719,0.999,0.8852,0.80444,0.9195,0.68925,1.46417,0.85674,1.12448,5.83695e-06,5.83695e-06,5.83695e-06
47,49.3394,0.39003,0.31018,0.81449,0.87544,0.81051,0.91178,0.68699,1.4618,0.85119,1.12489,4.88281e-06,4.88281e-06,4.88281e-06
48,50.1813,0.47325,0.30374,0.82788,0.87544,0.81051,0.91178,0.68699,1.4618,0.85119,1.12489,3.88154e-06,3.88154e-06,3.88154e-06
49,51.2444,0.47734,0.31601,0.92575,0.87466,0.81691,0.91105,0.6884,1.43561,0.92071,1.11277,2.83315e-06,2.83315e-06,2.83315e-06
50,54.1906,0.50754,0.27877,1.00569,0.87466,0.81691,0.91105,0.6884,1.43561,0.92071,1.11277,1.73764e-06,1.73764e-06,1.73764e-06
