epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.833,1.4,3.53715,1.67246,0.63414,0.44855,0.49279,0.27274,1.5457,1.85841,1.73499,0.000369918,0.000369918,0.000369918
2,483.047,1.48125,1.88356,1.69033,0.63434,0.54071,0.56319,0.31959,1.48727,1.35547,1.66502,0.000557039,0.000557039,0.000557039
3,713.211,1.28927,1.50415,1.53554,0.75561,0.61728,0.64909,0.4421,1.14262,0.89413,1.39933,0.000285975,0.000285975,0.000285975
